Phonemes,English,Spanish,Mandarin,Arabic
ə,0.1149,0,0,0
n,0.0711,0.071,0.08214395729,0.05704697987
r,0.0694,0.054,0.005955436903,0.08053691275
t,0.0691,0.045,0.01694219119,0.02013422819
ɪ,0.0632,0,0,0
s,0.0475,0.094,0.03131738371,0.04362416107
d,0.0421,0.04,0,0.04362416107
l,0.0396,0.039,0.02289762809,0.05704697987
i,0.0361,0.066,0.1460108841,0
k,0.0318,0.043,0.01447787247,0.03020134228
ð,0.0295,0,0,0.01006711409
ɛ,0.0286,0,0,0
m,0.0276,0.032,0.01468323236,0.05704697987
z,0.0276,0,0,0.02684563758
p ,0.0215,0.027,0.01632611151,0
æ,0.021,0,0,0
v,0.0201,0,0,0
w,0.0195,0,0,0.06040268456
u,0.0193,0.028,0.1374884485,0
b,0.018,0.031,0,0.05369127517
e,0.0179,0.15,0,0
ʌ ,0.0174,0,0,0
f,0.0171,0.005,0.01221891365,0.04697986577
aɪ,0.015,0,0,0
ɑ,0.0145,0,0,0
h,0.014,0,0,0.02684563758
o,0.0125,0.107,0,0
ɒ,0.0118,0,0,0
ŋ,0.0099,0,0,0
ʃ,0.0097,0,0,0.03691275168
j,0.0081,0,0,0.04026845638
g,0.008,0.011,0,0
dʒ,0.0059,0,0,0.03355704698
tʃ,0.0056,0.004,0,0
aʊ,0.005,0,0,0
ʊ,0.0043,0,0,0
θ,0.0041,0,0,0.01006711409
ɔɪ,0.001,0,0,0
ʒ,0.0007,0.007,0,0
a,0,0.133,0.1313276517,0
x,0,0.007,0.01725023103,0.02684563758
rr,0,0.004,0,0
ji,0,0.002,0,0
N,0,0,0.06376424684,0
kʰ,0,0,0.009549235034,0
pʰ,0,0,0.0121162337,0
tʰ,0,0,0.01478591231,0
ts,0,0,0.03604066126,0
tsʰ,0,0,0.02289762809,0
y,0,0,0.01920115002,0
§,0,0,0.01940650991,0
«,0,0,0.1160283397,0
ÿ§,0,0,0.02238422836,0
ÿ§ʰ,0,0,0.01478591231,0
ã,0,0,0,0
q,0,0,0,0.04362416107
tˤ,0,0,0,0.02684563758
sˤ,0,0,0,0.02348993289
ɣ,0,0,0,0.01677852349
ʕ,0,0,0,0.04026845638
ħ,0,0,0,0.04026845638
ʔ,0,0,0,0.02348993289
dˤ,0,0,0,0.01677852349
ðˤ,0,0,0,0.003355704698